	Translation	Positive	Negative	EmotionRationale
so it wasn t a hoax if trump is calling a threat to us forces a hoax then o brien and others ought to resign serve the country not the man url	so it wasn t a hoax if trump is calling a threat to us forces a hoax then o brien and others ought to resign serve the country not the man url	1	-3	 so[0] it[0] wasn[0] t[0] a[0] hoax[0] if[0] trump[0] is[0] calling[0] a[0] threat[-2] to[0] us[0] forces[0] a[0] hoax[0] then[0] o[0] brien[0] and[0] others[0] ought[0] to[0] resign[-1] serve[0] the[0] country[0] not[0] the[0] man[0] url[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
that s totally fair but at the very least trump is surrounded by people telling him exactly how to solve this and countries that have successfully done it whereas everyone in the 2 s seemed to struggle with how to exit the wars without creating instability and more death	that s totally fair but at the very least trump is surrounded by people telling him exactly how to solve this and countries that have successfully done it whereas everyone in the 2 s seemed to struggle with how to exit the wars without creating instability and more death	3	-3	 that[0] s[0] totally[0] fair[0] but[0] at[0] the[0] very[0] least[0] trump[0] is[0] surrounded[0] by[0] people[0] telling[0] him[0] exactly[0] how[0] to[0] solve[0] this[0] and[0] countries[0] that[0] have[0] successfully[2] done[0] it[0] whereas[0] everyone[0] in[0] the[0] 2[0] s[0] seemed[0] to[0] struggle[-1] with[0] how[0] to[0] exit[-1] the[0] wars[-2] without[0] creating[0] instability[-1] and[0] more[0] death[-2] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
dear why would your administration brief nato that russia was targeting coalition amp us troops in afghanistan if it was as you now say a hoax because it s not a hoax your duty as is to defend america not russia you are a traitor and need to resign url	dear why would your administration brief nato that russia was targeting coalition amp us troops in afghanistan if it was as you now say a hoax because it s not a hoax your duty as is to defend america not russia you are a traitor and need to resign url	2	-3	 dear[1] why[0] would[0] your[0] administration[0] brief[0] nato[0] that[0] russia[0] was[0] targeting[0] coalition[0] amp[0] us[0] troops[0] in[0] afghanistan[0] if[0] it[0] was[0] as[0] you[0] now[0] say[0] a[0] hoax[0] because[0] it[0] s[0] not[0] a[0] hoax[0] your[0] duty[-1] as[0] is[0] to[0] defend[0] america[0] not[0] russia[0] you[0] are[0] a[0] traitor[-2] and[0] need[0] to[0] resign[-1] url[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
125 days until president trump is re elected what are you going to do to ensure he wins	125 days until president trump is re elected what are you going to do to ensure he wins	1	-1	 125[0] days[0] until[0] president[0] trump[0] is[0] re[0] elected[0] what[0] are[0] you[0] going[0] to[0] do[0] to[0] ensure[0] he[0] wins[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
not renting to people of color was the trump business policy they thought they d get away with it but the feds fined them	not renting to people of color was the trump business policy they thought they d get away with it but the feds fined them	1	-1	 not[0] renting[0] to[0] people[0] of[0] color[0] was[0] the[0] trump[0] business[0] policy[0] they[0] thought[0] they[0] d[0] get[0] away[0] with[0] it[0] but[0] the[0] feds[0] fined[0] them[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
twitch wants to make sure that trump is the same as simplord69 in an instantly iconic moment on fox business url	twitch wants to make sure that trump is the same as simplord69 in an instantly iconic moment on fox business url	1	-1	 twitch[0] wants[0] to[0] make[0] sure[0] that[0] trump[0] is[0] the[0] same[0] as[0] simplord69[0] in[0] an[0] instantly[0] iconic[0] moment[0] on[0] fox[0] business[0] url[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
welcome to politics in the tulip age of your crumbling empire	welcome to politics in the tulip age of your crumbling empire	2	-1	 welcome[1] to[0] politics[0] in[0] the[0] tulip[0] age[0] of[0] your[0] crumbling[0] empire[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
here s the difference between fox s news and opinion side the opinion side speculates biden has dementia what makes it news is reporting that other people are speculating	here s the difference between fox s news and opinion side the opinion side speculates biden has dementia what makes it news is reporting that other people are speculating	1	-1	 here[0] s[0] the[0] difference[0] between[0] fox[0] s[0] news[0] and[0] opinion[0] side[0] the[0] opinion[0] side[0] speculates[0] biden[0] has[0] dementia[0] what[0] makes[0] it[0] news[0] is[0] reporting[0] that[0] other[0] people[0] are[0] speculating[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
meet the supporters trump has lost the new york times i will never vote for another republican in my life because of donald trump mr smith added what changed well three years yup people have had enough of trumps incompetence maga url	meet the supporters trump has lost the new york times i will never vote for another republican in my life because of donald trump mr smith added what changed well three years yup people have had enough of trumps incompetence maga url	2	-3	 meet[0] the[0] supporters[1] trump[0] has[0] lost[0] the[0] new[0] york[0] times[0] i[0] will[0] never[0] vote[0] for[0] another[0] republican[0] in[0] my[0] life[0] because[0] of[0] donald[0] trump[0] mr[0] smith[0] added[0] what[0] changed[0] well[0] three[0] years[0] yup[0] people[0] have[0] had[0] enough[0] of[0] trumps[0] incompetence[-2] maga[0] url[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
nb kept twisting my posts so i told her if she didn t stop i d have to block her example i posted that less than 1 of the population of nl were jewish i m jewish and she s jewish too she jumped down my throat because the stats can graph that i posted didn t specifically	nb kept twisting my posts so i told her if she didn t stop i d have to block her example i posted that less than 1 of the population of nl were jewish i m jewish and she s jewish too she jumped down my throat because the stats can graph that i posted didn t specifically	1	-2	 nb[0] kept[0] twisting[0] my[0] posts[0] so[0] i[0] told[0] her[0] if[0] she[0] didn[0] t[0] stop[0] i[0] d[0] have[0] to[0] block[-1] her[0] example[0] i[0] posted[0] that[0] less[0] than[0] 1[0] of[0] the[0] population[0] of[0] nl[0] were[0] jewish[0] i[0] m[0] jewish[0] and[0] she[0] s[0] jewish[0] too[0] she[0] jumped[0] down[0] my[0] throat[0] because[0] the[0] stats[0] can[0] graph[0] that[0] i[0] posted[0] didn[0] t[0] specifically[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
hannity asked what s your plans for a second term trump said djwo sjeb is sue us euwjwb rush eushe suishus uushe usuuwie837 7e82 d eud7d eud7eh	hannity asked what s your plans for a second term trump said djwo sjeb is sue us euwjwb rush eushe suishus ushe usuwie837 7e82 d eud7d eud7eh	1	-1	 hannity[0] asked[0] what[0] s[0] your[0] plans[0] for[0] a[0] second[0] term[0] trump[0] said[0] djwo[0] sjeb[0] is[0] sue[0] us[0] euwjwb[0] rush[0] eushe[0] suishus[0] uushe/ushe[0] usuuwie837/usuwie837[0] 7e82[0] d[0] eud7d[0] eud7eh[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the vietnam war was a war for america s economy at the cost of many thousands of american lives today we knowingly allow russia to profit off of the loss of american soldiers lives does trump profit from this a tag sale on our militia trumpisanationalsecuritythreat url	the vietnam war was a war for america s economy at the cost of many thousands of american lives today we knowingly allow russia to profit off of the loss of american soldiers lives does trump profit from this a tag sale on our militia trumpisanationalsecuritythreat url	2	-3	 the[0] vietnam[0] war[-2] was[0] a[0] war[-2] for[0] america[0] s[0] economy[0] at[0] the[0] cost[0] of[0] many[0] thousands[0] of[0] american[0] lives[0] today[0] we[0] knowingly[0] allow[0] russia[0] to[0] profit[1] off[0] of[0] the[0] loss[-2] of[0] american[0] soldiers[0] lives[0] does[0] trump[0] profit[1] from[0] this[0] a[0] tag[0] sale[0] on[0] our[0] militia[0] trumpisanationalsecuritythreat[0] url[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
criticized bill de blasio s plan to paint a black lives matter mural on the street outside trump tower saying the effort will antagonize police and will be denigrating this luxury avenue url	criticized bill de blasio s plan to paint a black lives matter mural on the street outside trump tower saying the effort will antagonize police and will be denigrating this luxury avenue url	1	-2	 criticized[-1] bill[0] de[0] blasio[0] s[0] plan[0] to[0] paint[0] a[0] black[0] lives[0] matter[0] mural[0] on[0] the[0] street[0] outside[0] trump[0] tower[0] saying[0] the[0] effort[0] will[0] antagonize[-1] police[0] and[0] will[0] be[0] denigrating[0] this[0] luxury[0] avenue[0] url[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the contrast between americafirst trade policies and biden s 4 years of job killing policies could not be greater the usmca is a win for american workers url	the contrast between americafirst trade policies and biden s 4 years of job killing policies could not be greater the usmca is a win for american workers url	1	-3	 the[0] contrast[0] between[0] americafirst[0] trade[0] policies[0] and[0] biden[0] s[0] 4[0] years[0] of[0] job[0] killing[-1] policies[0] could[0] not[0] be[0] greater[2][NegatedDueToPreviousWord] the[0] usmca[0] is[0] a[0] win[0] for[0] american[0] workers[0] url[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
so you re talking obamacare for all medicaire	so you re talking obamacare for all medicaire	1	-1	 so[0] you[0] re[0] talking[0] obamacare[0] for[0] all[0] medicaire[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
joe biden has fully embraced the radical left s agenda he supports green new deal policies that would destroy millions of jobs and he wants to repeal tax cuts which 82 of middle income americans received we can t afford biden	joe biden has fully embraced the radical left s agenda he supports green new deal policies that would destroy millions of jobs and he wants to repeal tax cuts which 82 of middle income americans received we can t afford biden	2	-2	 joe[0] biden[0] has[0] fully[0] embraced[0] the[0] radical[-1] left[0] s[0] agenda[0] he[0] supports[1] green[0] new[0] deal[0] policies[0] that[0] would[0] destroy[-2][--1 LastWordBoosterStrength] millions[0] of[0] jobs[0] and[0] he[0] wants[0] to[0] repeal[-1] tax[-1] cuts[0] which[0] 82[0] of[0] middle[0] income[0] americans[0] received[0] we[0] can[0] t[0] afford[0] biden[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
trump will dishonestly throw anyone under the bus to protect himself even our troops and the intelligence community that helps protect them url	trump will dishonestly throw anyone under the bus to protect himself even our troops and the intelligence community that helps protect them url	1	-2	 trump[0] will[0] dishonestly[-1] throw[0] anyone[0] under[0] the[0] bus[0] to[0] protect[0] himself[0] even[0] our[0] troops[0] and[0] the[0] intelligence[0] community[0] that[0] helps[0] protect[0] them[0] url[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
according to should come clean with the american people about the coronavirus threat and admit you were wrong	according to should come clean with the american people about the coronavirus threat and admit you were wrong	1	-3	 according[0] to[0] should[0] come[0] clean[0] with[0] the[0] american[0] people[0] about[0] the[0] coronavirus[0] threat[-2] and[0] admit[0] you[0] were[0] wrong[-1] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the real headline is trump is attackin his intelligence agencies while defendin putin again url	the real headline is trump is attackin his intelligence agencies while defendin putin again url	1	-3	 the[0] real[0] headline[0] is[0] trump[0] is[0] attackin[-2] his[0] intelligence[0] agencies[0] while[0] defendin[0] putin[0] again[0] url[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
i don t feel sorry for joe biden his family is 1 responsible for making him a national punchline	i don t feel sorry for joe biden his family is 1 responsible for making him a national punchline	1	-2	 i[0] don[0] t[0] feel[0] sorry[-1] for[0] joe[0] biden[0] his[0] family[0] is[0] 1[0] responsible[0] for[0] making[0] him[0] a[0] national[0] punchline[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
